GeneID	Reads
FBgn0051773	0
FBgn0023090	19
FBgn0023091	0
FBgn0023096	11
FBgn0023097	3529
FBgn0023094	1162
FBgn0023095	173
FBgn0037144	345
FBgn0000659	2
FBgn0000658	3
FBgn0037141	948
FBgn0037140	23
FBgn0037143	2
FBgn0025808	125
FBgn0025807	198
FBgn0025806	1196
FBgn0000303	0
FBgn0028708	565
FBgn0025803	2288
FBgn0025802	2298
FBgn0000307	1125
FBgn0037498	0
FBgn0011282	0
FBgn0011283	0
FBgn0011280	0
FBgn0033869	10
FBgn0011286	5
FBgn0011284	43574
FBgn0011285	835
FBgn0033862	0
FBgn0033863	0
FBgn0011288	0
FBgn0011289	1407
FBgn0033866	0
FBgn0033867	0
FBgn0033864	0
FBgn0033865	71
FBgn0039476	0
FBgn0039475	0
FBgn0039474	0
FBgn0039473	0
FBgn0039472	0
FBgn0039471	0
FBgn0039470	0
FBgn0035138	4
FBgn0039479	7
FBgn0002306	0
FBgn0037728	12073
FBgn0030514	1372
FBgn0037721	0
FBgn0030112	1278
FBgn0037723	575
FBgn0037722	233
FBgn0014076	0
FBgn0037724	0
FBgn0037727	3
FBgn0014075	2244
FBgn0052786	0
FBgn0052334	0
FBgn0032921	264
FBgn0000326	442
FBgn0004908	336
FBgn0034054	178
FBgn0052783	15
FBgn0033141	0
FBgn0010488	12289
